T21,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
14,Eastern Africa,2010,Imports CIF (millions of US dollars),,,"62,688",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2015,Imports CIF (millions of US dollars),,,"93,529",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2021,Imports CIF (millions of US dollars),,,"104,544",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2022,Imports CIF (millions of US dollars),,,"125,898",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2023,Imports CIF (millions of US dollars),,,"108,104",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,1995,Exports FOB (millions of US dollars),,,"9,499",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2005,Exports FOB (millions of US dollars),,,"16,297",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2010,Exports FOB (millions of US dollars),,,"31,652",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2015,Exports FOB (millions of US dollars),,,"39,711",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2021,Exports FOB (millions of US dollars),,,"52,522",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2022,Exports FOB (millions of US dollars),,,"58,878",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2023,Exports FOB (millions of US dollars),,,"57,437",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,1995,Balance imports/exports (millions of US dollars),,,"-8,481",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2005,Balance imports/exports (millions of US dollars),,,"-14,945",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2010,Balance imports/exports (millions of US dollars),,,"-31,036",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2015,Balance imports/exports (millions of US dollars),,,"-53,818",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2021,Balance imports/exports (millions of US dollars),,,"-52,021",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2022,Balance imports/exports (millions of US dollars),,,"-67,020",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
14,Eastern Africa,2023,Balance imports/exports (millions of US dollars),,,"-50,667",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,1995,Imports CIF (millions of US dollars),,,"5,412",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2005,Imports CIF (millions of US dollars),,,"18,680",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2010,Imports CIF (millions of US dollars),,,"43,623",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2015,Imports CIF (millions of US dollars),,,"55,655",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2021,Imports CIF (millions of US dollars),,,"34,215",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2022,Imports CIF (millions of US dollars),,,"47,183",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2023,Imports CIF (millions of US dollars),,,"56,444",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,1995,Exports FOB (millions of US dollars),,,"10,954",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2005,Exports FOB (millions of US dollars),,,"48,958",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2010,Exports FOB (millions of US dollars),,,"90,717",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
17,Middle Africa,2015,Exports FOB (millions of US dollars),,,"74,834",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2024."
